stained_absorbance,unstained_absorbance,stained_hue,unstained_hue,image,cell_type
0.214,0.196,115,119,021-04-29_Q_4_unstained,PX
0.211,0.196,117,182,021-04-29_Q_4_unstained,PX
0.182,0.173,124,147,021-04-29_Q_4_unstained,PX
0.271,0.277,122,200,021-04-29_Q_4_unstained,PX
0.211,0.225,119,170,021-04-29_Q_4_unstained,PX
0.316,0.316,121,181,021-04-29_Q_4_unstained,PX
0.308,0.259,112,170,021-04-29_Q_4_unstained,PX
0.329,0.260,118,227,021-04-29_Q_4_unstained,PX
0.353,0.314,117,143,021-04-29_Q_4_unstained,PX
0.265,0.253,119,149,021-04-29_Q_4_unstained,PX
0.299,0.296,118,178,021-04-29_Q_4_unstained,PX
0.250,0.230,119,189,021-04-29_Q_4_unstained,PX
0.200,0.137,134,203,021-04-29_Q_4_unstained,PX
0.299,0.298,122,179,021-04-29_Q_4_unstained,PX
0.322,0.307,119,149,021-04-29_Q_4_unstained,PX
0.265,0.265,122,222,021-04-29_Q_4_unstained,PX
0.238,0.286,123,174,021-04-29_Q_4_unstained,PX
0.226,0.218,117,170,021-04-29_Q_4_unstained,PX
0.283,0.229,119,152,021-04-29_Q_4_unstained,PX
0.263,0.270,119,181,021-04-29_Q_4_unstained,PX
0.344,0.166,122,152,021-04-29_Q_4_unstained,MX
0.435,0.187,122,149,021-04-29_Q_4_unstained,MX
0.447,0.198,123,152,021-04-29_Q_4_unstained,MX
0.454,0.204,121,128,021-04-29_Q_4_unstained,MX
0.414,0.139,125,132,021-04-29_Q_4_unstained,MX
0.514,0.244,123,155,021-04-29_Q_4_unstained,MX
0.379,0.101,123,149,021-04-29_Q_4_unstained,MX
0.390,0.100,125,165,021-04-29_Q_4_unstained,MX
0.368,0.082,120,140,021-04-29_Q_4_unstained,MX
0.374,0.059,123,143,021-04-29_Q_4_unstained,MX
0.357,0.082,122,132,021-04-29_Q_4_unstained,MX
0.408,0.152,122,119,021-04-29_Q_4_unstained,MX
0.455,0.196,122,142,021-04-29_Q_4_unstained,MX
0.349,0.118,121,123,021-04-29_Q_4_unstained,MX
0.467,0.195,123,149,021-04-29_Q_4_unstained,MX
0.368,0.056,123,131,021-04-29_Q_4_unstained,MX
0.327,0.067,123,198,021-04-29_Q_4_unstained,MX
0.421,0.067,121,119,021-04-29_Q_4_unstained,MX
0.369,0.067,123,136,021-04-29_Q_4_unstained,MX
0.346,0.133,120,135,021-04-29_Q_4_unstained,MX
0.339,0.226,118,234,021-04-29_Q_4_unstained,XF
0.337,0.212,118,221,021-04-29_Q_4_unstained,XF
0.302,0.175,115,170,021-04-29_Q_4_unstained,XF
0.321,0.204,118,170,021-04-29_Q_4_unstained,XF
0.251,0.180,118,188,021-04-29_Q_4_unstained,XF
0.286,0.197,118,27,021-04-29_Q_4_unstained,XF
0.279,0.200,120,213,021-04-29_Q_4_unstained,XF
0.237,0.179,116,20,021-04-29_Q_4_unstained,XF
0.335,0.291,114,236,021-04-29_Q_4_unstained,XF
0.294,0.223,116,213,021-04-29_Q_4_unstained,XF
0.312,0.225,119,217,021-04-29_Q_4_unstained,XF
0.259,0.205,115,241,021-04-29_Q_4_unstained,XF
0.247,0.196,106,247,021-04-29_Q_4_unstained,XF
0.237,0.202,110,27,021-04-29_Q_4_unstained,XF
0.184,0.134,113,105,021-04-29_Q_4_unstained,XF
0.249,0.172,112,230,021-04-29_Q_4_unstained,XF
0.270,0.204,115,191,021-04-29_Q_4_unstained,XF
0.191,0.154,109,198,021-04-29_Q_4_unstained,XF
0.216,0.169,106,42,021-04-29_Q_4_unstained,XF
0.179,0.184,113,230,021-04-29_Q_4_unstained,XF
0.217,0.031,117,143,021-04-29_Q_4_unstained,XF-CML
0.255,0.050,116,123,021-04-29_Q_4_unstained,XF-CML
0.274,0.088,116,141,021-04-29_Q_4_unstained,XF-CML
0.204,0.092,116,132,021-04-29_Q_4_unstained,XF-CML
0.186,0.054,114,105,021-04-29_Q_4_unstained,XF-CML
0.227,0.065,116,112,021-04-29_Q_4_unstained,XF-CML
0.223,0.101,116,101,021-04-29_Q_4_unstained,XF-CML
0.164,0.050,114,137,021-04-29_Q_4_unstained,XF-CML
0.193,0.024,113,116,021-04-29_Q_4_unstained,XF-CML
0.215,0.073,116,137,021-04-29_Q_4_unstained,XF-CML
0.146,0.024,110,128,021-04-29_Q_4_unstained,XF-CML
0.149,0.037,109,123,021-04-29_Q_4_unstained,XF-CML
0.136,0.027,109,115,021-04-29_Q_4_unstained,XF-CML
0.145,0.073,111,23,021-04-29_Q_4_unstained,XF-CML
0.140,0.063,110,149,021-04-29_Q_4_unstained,XF-CML
0.142,0.077,107,120,021-04-29_Q_4_unstained,XF-CML
0.170,0.041,109,70,021-04-29_Q_4_unstained,XF-CML
0.148,0.047,107,98,021-04-29_Q_4_unstained,XF-CML
0.137,0.105,108,29,021-04-29_Q_4_unstained,XF-CML
0.113,0.032,113,99,021-04-29_Q_4_unstained,XF-CML
0.104,0.103,105,42,021-04-29_Q_4_unstained,IF
0.101,0.108,110,250,021-04-29_Q_4_unstained,IF
0.143,0.135,105,250,021-04-29_Q_4_unstained,IF
0.144,0.165,63,227,021-04-29_Q_4_unstained,IF
0.145,0.154,105,248,021-04-29_Q_4_unstained,IF
0.134,0.130,84,244,021-04-29_Q_4_unstained,IF
