stained_absorbance,unstained_absorbance,stained_hue,unstained_hue,image,cell_type
0.249,0.225,119,56,2021-05-06_WT_4_unstained,PX
0.300,0.202,124,157,2021-05-06_WT_4_unstained,PX
0.307,0.230,110,170,2021-05-06_WT_4_unstained,PX
0.347,0.299,115,175,2021-05-06_WT_4_unstained,PX
0.284,0.216,115,179,2021-05-06_WT_4_unstained,PX
0.385,0.259,122,174,2021-05-06_WT_4_unstained,PX
0.348,0.260,117,146,2021-05-06_WT_4_unstained,PX
0.238,0.191,103,228,2021-05-06_WT_4_unstained,PX
0.287,0.232,116,149,2021-05-06_WT_4_unstained,PX
0.353,0.209,115,63,2021-05-06_WT_4_unstained,PX
0.368,0.292,113,20,2021-05-06_WT_4_unstained,PX
0.373,0.281,113,18,2021-05-06_WT_4_unstained,PX
0.395,0.319,114,241,2021-05-06_WT_4_unstained,PX
0.362,0.288,119,33,2021-05-06_WT_4_unstained,PX
0.356,0.304,113,63,2021-05-06_WT_4_unstained,PX
0.447,0.321,118,132,2021-05-06_WT_4_unstained,PX
0.412,0.323,116,11,2021-05-06_WT_4_unstained,PX
0.257,0.266,111,33,2021-05-06_WT_4_unstained,PX
0.389,0.269,112,234,2021-05-06_WT_4_unstained,PX
0.319,0.276,114,170,2021-05-06_WT_4_unstained,PX
0.441,0.200,124,84,2021-05-06_WT_4_unstained,MX
0.435,0.164,126,146,2021-05-06_WT_4_unstained,MX
0.486,0.219,123,114,2021-05-06_WT_4_unstained,MX
0.453,0.178,124,248,2021-05-06_WT_4_unstained,MX
0.427,0.118,125,128,2021-05-06_WT_4_unstained,MX
0.398,0.127,125,108,2021-05-06_WT_4_unstained,MX
0.530,0.207,125,135,2021-05-06_WT_4_unstained,MX
0.571,0.255,124,159,2021-05-06_WT_4_unstained,MX
0.507,0.077,125,117,2021-05-06_WT_4_unstained,MX
0.498,0.179,123,102,2021-05-06_WT_4_unstained,MX
0.514,0.127,124,113,2021-05-06_WT_4_unstained,MX
0.573,0.158,125,170,2021-05-06_WT_4_unstained,MX
0.531,0.083,124,108,2021-05-06_WT_4_unstained,MX
0.498,0.108,124,70,2021-05-06_WT_4_unstained,MX
0.630,0.280,124,137,2021-05-06_WT_4_unstained,MX
0.562,0.113,124,165,2021-05-06_WT_4_unstained,MX
0.529,0.130,124,158,2021-05-06_WT_4_unstained,MX
0.532,0.082,125,116,2021-05-06_WT_4_unstained,MX
0.545,0.065,124,145,2021-05-06_WT_4_unstained,MX
0.577,0.116,124,145,2021-05-06_WT_4_unstained,MX
0.556,0.121,121,152,2021-05-06_WT_4_unstained,XF
0.564,0.147,121,128,2021-05-06_WT_4_unstained,XF
0.611,0.177,122,230,2021-05-06_WT_4_unstained,XF
0.579,0.118,122,33,2021-05-06_WT_4_unstained,XF
0.566,0.150,122,153,2021-05-06_WT_4_unstained,XF
0.591,0.154,121,170,2021-05-06_WT_4_unstained,XF
0.631,0.149,122,163,2021-05-06_WT_4_unstained,XF
0.608,0.108,122,133,2021-05-06_WT_4_unstained,XF
0.623,0.139,122,146,2021-05-06_WT_4_unstained,XF
0.580,0.115,122,93,2021-05-06_WT_4_unstained,XF
0.607,0.114,122,179,2021-05-06_WT_4_unstained,XF
0.560,0.105,122,116,2021-05-06_WT_4_unstained,XF
0.607,0.171,123,100,2021-05-06_WT_4_unstained,XF
0.616,0.173,123,134,2021-05-06_WT_4_unstained,XF
0.612,0.163,123,93,2021-05-06_WT_4_unstained,XF
0.611,0.145,122,95,2021-05-06_WT_4_unstained,XF
0.621,0.171,122,170,2021-05-06_WT_4_unstained,XF
0.594,0.155,123,170,2021-05-06_WT_4_unstained,XF
0.614,0.192,122,191,2021-05-06_WT_4_unstained,XF
0.590,0.149,122,76,2021-05-06_WT_4_unstained,XF
0.584,0.132,123,156,2021-05-06_WT_4_unstained,XF-CML
0.522,0.053,123,128,2021-05-06_WT_4_unstained,XF-CML
0.554,0.068,124,121,2021-05-06_WT_4_unstained,XF-CML
0.557,0.132,124,145,2021-05-06_WT_4_unstained,XF-CML
0.577,0.075,124,137,2021-05-06_WT_4_unstained,XF-CML
